Cheval_clean;Poids_groupe;Cheval;Valeur_poids;Courses;Victoires;Podiums;Moyenne_classement;Taux_victoire;Taux_podium
ADIOSSKY;570;ADIOS SKY;570;1;0;0;8.0;0.0;0.0
ADISHAKTI;600;ADI SHAKTI;600;3;1;2;4.0;33.3;66.7
ADJOE;554;ADJOE;554;1;0;0;6.0;0.0;0.0
ADJOE;560;ADJOE;560;1;0;0;9.0;0.0;0.0
ADJOE;580;ADJOE;580;1;0;0;6.0;0.0;0.0
ADJOE;584;ADJOE;584;1;0;1;2.0;0.0;100.0
ADJOE;590;ADJOE;590;1;1;1;1.0;100.0;100.0
ADJOE;600;ADJOE;600;1;0;0;4.0;0.0;0.0
ADLANSENORA;564;ADLAN SENORA;564;1;0;0;6.0;0.0;0.0
ADLANSENORA;570;ADLAN SENORA;570;1;1;1;1.0;100.0;100.0
ADLANSENORA;580;ADLAN SENORA;580;1;0;0;12.0;0.0;0.0
ADLANSENORA;584;ADLAN SENORA;584;1;0;0;0.0;0.0;0.0
ADLANSENORA;590;ADLAN SENORA;590;1;0;0;6.0;0.0;0.0
ADLANSENORA;594;ADLAN SENORA;594;1;0;0;11.0;0.0;0.0
ADMIRALDENNIS;554;ADMIRAL DENNIS;554;1;0;0;6.0;0.0;0.0
ADMIRALJOY;550;ADMIRAL JOY;550;2;0;0;4.5;0.0;0.0
ADMIREDBEAUTY;580;ADMIRED BEAUTY;580;1;0;1;2.0;0.0;100.0
ADONATA;570;ADONATA;570;2;0;0;2.5;0.0;0.0
ADONIDE;544;ADONIDE;544;1;0;0;12.0;0.0;0.0
ADONIDE;560;ADONIDE;560;1;0;0;15.0;0.0;0.0
ADONIDE;580;ADONIDE;580;3;0;1;5.666666666666667;0.0;33.3
ADORA;530;ADORA;530;1;0;0;4.0;0.0;0.0
ADORA;560;ADORA;560;1;0;0;4.0;0.0;0.0
ADORA;590;ADORA;590;1;0;0;0.0;0.0;0.0
ADORABLE;590;ADORABLE;590;1;0;0;14.0;0.0;0.0
ADORADORIM;580;ADORADO RIM;580;1;0;0;5.0;0.0;0.0
ADORADORIM;600;ADORADO RIM;600;1;0;0;6.0;0.0;0.0
ADORAEMOTION;550;ADORA EMOTION;550;1;0;0;4.0;0.0;0.0
ADRASTEIA;534;ADRASTEIA;534;1;0;0;0.0;0.0;0.0
ADRASTINA;544;ADRASTINA;544;1;0;0;8.0;0.0;0.0
ADRIAN;570;ADRIAN;570;1;0;0;0.0;0.0;0.0
ADROIT;550;ADROIT;550;1;0;0;6.0;0.0;0.0
ADVANCED;544;ADVANCED;544;1;1;1;1.0;100.0;100.0
ADVANCING;604;ADVANCING;604;1;1;1;1.0;100.0;100.0
ADVENTURA;560;ADVENTURA;560;3;0;1;5.666666666666667;0.0;33.3
ADVENTURA;564;ADVENTURA;564;3;0;0;6.0;0.0;0.0
ADVENTURA;580;ADVENTURA;580;1;0;1;3.0;0.0;100.0
ADVENTURIST;570;ADVENTURIST;570;1;0;0;0.0;0.0;0.0
ADVERSARY;554;ADVERSARY;554;3;2;2;2.6666666666666665;66.7;66.7
