Cheval_clean;Surface;Cheval;Valeur_surface;Courses;Victoires;Podiums;Moyenne_classement;Taux_victoire;Taux_podium
AGNESI;GAZON;AGNESI;GAZON;5;0;1;4.8;0.0;20.0
AGNESIT'A;GAZON;AGNESIT'A;GAZON;8;0;2;5.625;0.0;25.0
AGNUSDEI;GAZON;AGNUS DEI;GAZON;2;0;0;11.5;0.0;0.0
AGOO;GAZON;AGOO;GAZON;2;0;0;0.0;0.0;0.0
AGOSTINA;GAZON;AGOSTINA;GAZON;3;0;3;2.0;0.0;100.0
AGOUREIL;GAZON;AGOUREIL;GAZON;8;0;1;6.125;0.0;12.5
AGRI;GAZON;AGRI;GAZON;8;1;4;5.0;12.5;50.0
AGRIMONIA;GAZON;AGRIMONIA;GAZON;3;0;0;5.333333333333333;0.0;0.0
AGUANATURAL;GAZON;AGUA NATURAL;GAZON;1;0;0;7.0;0.0;0.0
AGUARATED;GAZON;AGUARA TED;GAZON;2;0;0;3.0;0.0;0.0
AGUASARRIBA;GAZON;AGUAS ARRIBA;GAZON;2;0;0;6.5;0.0;0.0
AGUASENSUAL;GAZON;AGUA SENSUAL;GAZON;1;0;0;12.0;0.0;0.0
AGUAVITAE;GAZON;AGUA VITAE;GAZON;3;0;0;4.0;0.0;0.0
AGUAYIL;GAZON;AGUA YIL;GAZON;1;0;1;2.0;0.0;100.0
AGUILADEFUEGO;GAZON;AGUILA DE FUEGO;GAZON;3;0;0;7.666666666666667;0.0;0.0
AGUR;GAZON;AGUR;GAZON;1;0;0;8.0;0.0;0.0
AGUSTINAMANI;GAZON;AGUSTINA MANI;GAZON;2;0;0;6.0;0.0;0.0
AGUSTINAS;GAZON;AGUSTINAS;GAZON;2;0;1;5.0;0.0;50.0
AHALYA;GAZON;AHALYA;GAZON;3;0;0;4.0;0.0;0.0
AHEADOFFASHION;GAZON;AHEAD OF FASHION;GAZON;1;0;0;7.0;0.0;0.0
AHIVIENEAHIVA;GAZON;AHI VIENE AHI VA;GAZON;5;0;1;8.6;0.0;20.0
AHTAHAN;GAZON;AH TAHAN;GAZON;2;0;1;5.0;0.0;50.0
AIBAR;GAZON;AIBAR;GAZON;1;0;1;2.0;0.0;100.0
AIDA;GAZON;AIDA;GAZON;2;0;1;5.0;0.0;50.0
AIDAN'SPHONE;GAZON;AIDAN'S PHONE;GAZON;6;1;3;4.166666666666667;16.7;50.0
AIGEAS;GAZON;AIGEAS;GAZON;1;0;0;0.0;0.0;0.0
AIGLEVAILLANT;GAZON;AIGLE VAILLANT;GAZON;1;0;0;4.0;0.0;0.0
AIGUIERED'ARGENT;GAZON;AIGUIERE D'ARGENT;GAZON;2;1;2;1.5;50.0;100.0
AIMANT;GAZON;AIMANT;GAZON;6;2;4;3.3333333333333335;33.3;66.7
AIMERAPIDS;GAZON;AIME RAPIDS;GAZON;1;0;0;13.0;0.0;0.0
AIMEVIPI;GAZON;AIME VIPI;GAZON;2;0;0;9.0;0.0;0.0
AIMFORTHEBULL;GAZON;AIM FOR THE BULL;GAZON;2;1;1;3.0;50.0;50.0
AIMINGHIGH;GAZON;AIMING HIGH;GAZON;1;0;0;4.0;0.0;0.0
AIMUSLIBERATUS;GAZON;AIMUS LIBERATUS;GAZON;1;0;0;10.0;0.0;0.0
AIN'TNOBODY;GAZON;AIN'T NOBODY;GAZON;1;0;0;0.0;0.0;0.0
AINHOAGOLDWIN;GAZON;AINHOA GOLDWIN;GAZON;3;0;0;8.333333333333334;0.0;0.0
AINTMISBEHAVING;GAZON;AINT MISBEHAVING;GAZON;2;0;0;9.5;0.0;0.0
AINTREEGIRL;GAZON;AINTREEGIRL;GAZON;3;0;1;6.333333333333333;0.0;33.3
AIRA;GAZON;AIRA;GAZON;2;0;0;14.0;0.0;0.0
AIRBORNEELITE;GAZON;AIRBORNE ELITE;GAZON;1;0;1;3.0;0.0;100.0
AIRDESAMBA;GAZON;AIR DE SAMBA;GAZON;9;0;2;7.333333333333333;0.0;22.2
AIREDETIGRE;GAZON;AIRE DE TIGRE;GAZON;3;0;1;7.333333333333333;0.0;33.3
