Cheval_clean;Jockey_clean;Cheval;Jockey;Courses;Victoires;Podiums;Taux_victoire;Taux_podium
KAMRONECHOP;FVERON;KAMRONE CHOP;F.VERON;1;0;0;0.0;0.0
KAMRONECHOP;MGRANDIN;KAMRONE CHOP;M.GRANDIN;1;0;0;0.0;0.0
KAMRONECHOP;PBAZIRE;KAMRONE CHOP;P.BAZIRE;1;0;0;0.0;0.0
KAMSTYLE;PCHEYER;KAMSTYLE;P.CHEYER;1;0;0;0.0;0.0
KAMSTYLE;RMANGIONE;KAMSTYLE;R.MANGIONE;1;0;0;0.0;0.0
KANAGAWA;CLECOEUVRE;KANAGAWA;C.LECOEUVRE;1;0;0;0.0;0.0
KANAGAWA;PBAZIRE;KANAGAWA;P.BAZIRE;1;0;0;0.0;0.0
KANDAN;BASTIANALEJANDROSOTOVERGARA;KANDAN;BASTIAN ALEJANDRO SOTO VERGARA;4;0;0;0.0;0.0
KANDARGRINE;OLAKJAL;KANDAR GRINE;O. LAKJAL;1;0;0;0.0;0.0
KANDO;CSOUMILLON;KANDO;C.SOUMILLON;1;0;0;0.0;0.0
KANDO;HJOURNIAC;KANDO;H.JOURNIAC;4;0;2;0.0;50.0
KANDO;RTHOMAS;KANDO;R.THOMAS;1;0;0;0.0;0.0
KANDOZI;FELIPEALBERTOHENRIQUEZ;KANDOZI;FELIPE ALBERTO HENRIQUEZ;1;0;0;0.0;0.0
KANDOZI;SEBASTIANEDUARDOGONZALEZBARRI;KANDOZI;SEBASTIAN EDUARDO GONZALEZ BARRI;1;0;0;0.0;0.0
KANEORE;BENJAMINMARIE;KANE ORE;BENJAMIN MARIE;1;0;0;0.0;0.0
KANEYEVA;EDUARDOORTEGAPAVON;KANEYEVA;EDUARDO ORTEGA PAVON;1;0;0;0.0;0.0
KANNEMANN;WALDEMARMACIELBOCCIA;KANNEMANN;WALDEMAR MACIEL BOCCIA;1;1;1;100.0;100.0
KANSAS;BENTLEYH;KANSAS;BENTLEY H.;3;0;0;0.0;0.0
KANSAS;WONGECW;KANSAS;WONG E.C.W.;1;0;0;0.0;0.0
KANTAMINHAGENTE;YAIREMANUELPEREIRA;KANTA MINHA GENTE;YAIR EMANUEL PEREIRA;2;0;0;0.0;0.0
KANTIDEBOZOULS;NONPARTANT;KANTI DE BOZOULS;NON PARTANT;1;0;0;0.0;0.0
KANZASHI;BERTRANDFLANDRIN;KANZASHI;BERTRAND FLANDRIN;1;0;0;0.0;0.0
KANZASHI;BFLANDRIN;KANZASHI;B.FLANDRIN;1;0;0;0.0;0.0
KAOUASAKI;BMARIE;KAOUASAKI;B.MARIE;1;0;0;0.0;0.0
KAOUASAKI;LBOISSEAU;KAOUASAKI;L.BOISSEAU;2;0;0;0.0;0.0
KAOUASAKI;XBERGERON;KAOUASAKI;X.BERGERON;1;0;0;0.0;0.0
KAPETANIOS;AORANI;KAPETANIOS;A.ORANI;3;0;2;0.0;66.7
KAPETANIOS;EHARDOUIN;KAPETANIOS;E.HARDOUIN;1;0;0;0.0;0.0
KAPETANIOS;MBRUNELLI;KAPETANIOS;M.BRUNELLI;1;0;0;0.0;0.0
KAPETANIOS;PCBOUDOT;KAPETANIOS;PC.BOUDOT;1;0;0;0.0;0.0
KAPICHU;BENJAMINRODRIGOTRONCOSO;KAPICHU;BENJAMIN RODRIGO TRONCOSO;1;1;1;100.0;100.0
KAPICHU;RODOLFOANTONIOFUENZALIDAGARCI;KAPICHU;RODOLFO ANTONIO FUENZALIDA GARCI;1;0;0;0.0;0.0
KAPKAN;GSANCHEZ;KAPKAN;G.SANCHEZ;1;0;0;0.0;0.0
KAPKAN;LBAILS;KAPKAN;L.BAILS;2;0;1;0.0;50.0
KAPKAN;RMANGIONE;KAPKAN;R.MANGIONE;2;0;0;0.0;0.0
KAPLYA;ALEMAITRE;KAPLYA;A.LEMAITRE;2;0;0;0.0;0.0
KAPOOR;TKINGSLEY;KAPOOR;T KINGSLEY;1;1;1;100.0;100.0
KAPOROSSO;CDEMURO;KAPO ROSSO;C.DEMURO;1;0;0;0.0;0.0
KAPOROSSO;CGROSBOIS;KAPO ROSSO;C.GROSBOIS;1;0;0;0.0;0.0
KAPOROSSO;EHARDOUIN;KAPO ROSSO;E.HARDOUIN;1;0;0;0.0;0.0
KAPOROSSO;LPOGGIONOVO;KAPO ROSSO;L.POGGIONOVO;6;0;1;0.0;16.7
KAPPITANAMARVEL;JOSELUIZDASILVA;KAPPITANA MARVEL;JOSE LUIZ DA SILVA;1;1;1;100.0;100.0
KAPPITANAMARVEL;VAGNERLEAL;KAPPITANA MARVEL;VAGNER LEAL;1;0;0;0.0;0.0
KAPTAINNORDIK;LBOISSEAU;KAPTAIN NORDIK;L.BOISSEAU;5;0;1;0.0;20.0
KAPTAINNORDIK;LROUSSEL;KAPTAIN NORDIK;L.ROUSSEL;1;0;0;0.0;0.0
KAPTAINNORDIK;SSAADI;KAPTAIN NORDIK;S. SAADI;1;0;0;0.0;0.0
KAPTAINNORDIK;TGUINEHEUX;KAPTAIN NORDIK;T.GUINEHEUX;1;0;0;0.0;0.0
KAPU;BENJAMINSANCHO;KAPU;BENJAMIN  SANCHO;1;0;1;0.0;100.0
