Cheval_clean;Hippo;Cheval;Hippodrome;Courses;Victoires;Podiums;Moyenne_classement;Derniere_course;Taux_victoire;Taux_podium;Jours_depuis
TOSO;SAN ISIDRO;TOSO;SAN ISIDRO;1;0;1;3.0;2026-04-08;0.0;100.0;104.0
TOTALC;MARONAS;TOTA LC;MARONAS;1;0;0;4.0;2026-05-30;0.0;0.0;52.0
TOTALCHARGE;MARONAS;TOTAL CHARGE;MARONAS;1;0;0;7.0;2026-04-12;0.0;0.0;100.0
TOTALMIM;MARONAS;TOTAL MIM;MARONAS;2;0;0;5.0;2026-02-15;0.0;0.0;156.0
TOTALSEGURITY;PALERMO;TOTAL SEGURITY;PALERMO;4;0;1;4.75;2026-05-09;0.0;25.0;73.0
TOTHEEASTSIDE;GULFSTREAM PARK;TO THE EASTSIDE;GULFSTREAM PARK;3;0;2;3.3333333333333335;2026-03-21;0.0;66.7;122.0
TOTHEMAX;GULFSTREAM PARK;TO THE MAX;GULFSTREAM PARK;1;0;0;7.0;2026-02-06;0.0;0.0;165.0
TOTORIINA;MARONAS;TOTO RIINA;MARONAS;6;1;3;4.833333333333333;2026-06-07;16.7;50.0;44.0
TOTTENHAM;PALERMO;TOTTENHAM;PALERMO;1;0;0;8.0;2026-07-06;0.0;0.0;15.0
TOTTENHAM;SAN ISIDRO;TOTTENHAM;SAN ISIDRO;1;0;1;2.0;2026-05-10;0.0;100.0;72.0
TOUCHINGME;SANTIAGO;TOUCHING ME;SANTIAGO;3;2;3;1.6666666666666667;2026-03-23;66.7;100.0;120.0
TOUCHINTHENIGHT;PAU;TOUCH IN THE NIGHT;PAU;3;0;0;4.666666666666667;2026-02-23;0.0;0.0;148.0
TOUCHOFFIRE;CHURCHILL DOWNS;TOUCH OF FIRE;CHURCHILL DOWNS;1;1;1;1.0;2026-05-30;100.0;100.0;52.0
TOUCHOFFIRE;SARATOGA;TOUCH OF FIRE;SARATOGA;1;0;0;4.0;2026-07-04;0.0;0.0;17.0
TOUCHOFGRACIE;TOOWOOMBA;TOUCH OF GRACIE;TOOWOOMBA;1;0;1;3.0;2026-05-09;0.0;100.0;73.0
TOUCHTHEMOON;CURRAGH;TOUCH THE MOON;CURRAGH;1;0;0;4.0;2026-06-27;0.0;0.0;24.0
TOUCHTHESTARS;SAN ISIDRO;TOUCH THE STARS;SAN ISIDRO;1;0;0;4.0;2026-04-10;0.0;0.0;102.0
TOUGHSTREET;SARATOGA;TOUGH STREET;SARATOGA;1;0;1;2.0;2026-07-09;0.0;100.0;12.0
TOUGHTOM;DORTMUND;TOUGH TOM;DORTMUND;1;0;0;10.0;2026-06-21;0.0;0.0;30.0
TOULEEN;ASCOT;TOULEEN;ASCOT;1;0;1;2.0;2026-06-19;0.0;100.0;32.0
TOULEEN;NEWMARKET;TOULEEN;NEWMARKET;1;0;0;6.0;2026-05-30;0.0;0.0;52.0
TOUNSBY;BORELY;TOUNSBY;BORELY;2;0;0;4.5;2026-04-30;0.0;0.0;82.0
TOUNSBY;CAGNES/MER;TOUNSBY;CAGNES/MER;1;0;0;10.0;2026-02-24;0.0;0.0;147.0
TOUNSBY;VICHY;TOUNSBY;VICHY;1;1;1;1.0;2026-05-13;100.0;100.0;69.0
TOUQUETOISE;AGEN LA GARENNE;TOUQUETOISE;AGEN LA GARENNE;1;0;1;3.0;2026-04-26;0.0;100.0;86.0
TOUQUETOISE;DAX;TOUQUETOISE;DAX;2;0;0;9.5;2026-07-17;0.0;0.0;4.0
TOUQUETOISE;LA CEPIERE;TOUQUETOISE;LA CEPIERE;2;0;0;6.5;2026-06-08;0.0;0.0;43.0
TOUQUETOISE;PAU;TOUQUETOISE;PAU;3;0;0;9.666666666666666;2026-02-20;0.0;0.0;151.0
TOURBILLONGOLFER;HAPPY VALLEY;TOURBILLON GOLFER;HAPPY VALLEY;4;0;1;7.0;2026-05-27;0.0;25.0;55.0
TOURBILLONGOLFER;SHA TIN (HONG KONG);TOURBILLON GOLFER;SHA TIN (HONG KONG);2;0;1;3.5;2026-05-06;0.0;50.0;76.0
TOURBILLONPRINCE;HAPPY VALLEY;TOURBILLON PRINCE;HAPPY VALLEY;2;0;0;11.0;2026-03-18;0.0;0.0;125.0
TOURBILLONPRINCE;SHA TIN (HONG KONG);TOURBILLON PRINCE;SHA TIN (HONG KONG);2;0;0;7.5;2026-02-10;0.0;0.0;161.0
TOURIST;MEYDAN (E.A.U);TOURIST;MEYDAN (E.A.U);2;0;1;5.0;2026-02-06;0.0;50.0;165.0
TOURISTELLA;SANTIAGO;TOURISTELLA;SANTIAGO;1;0;0;8.0;2026-05-04;0.0;0.0;78.0
TOURTOVANCOUVER;PONT DE VIVAUX;TOUR TO VANCOUVER;PONT DE VIVAUX;2;0;0;8.0;2026-02-16;0.0;0.0;155.0
TOUSLEDCROWN;ALBANY AUSTRALIE;TOUSLED CROWN;ALBANY AUSTRALIE;1;0;0;7.0;2026-03-08;0.0;0.0;135.0
TOUSSAROK;WOLVERHAMPTON;TOUSSAROK;WOLVERHAMPTON;1;0;0;7.0;2026-01-26;0.0;0.0;176.0
TOUTELUSIVE;CAGNES/MER;TOUTELUSIVE;CAGNES/MER;2;0;0;10.0;2026-02-04;0.0;0.0;167.0
TOUTELUSIVE;PONT DE VIVAUX;TOUTELUSIVE;PONT DE VIVAUX;2;1;1;3.0;2026-03-09;50.0;50.0;134.0
TOUTSAUFPETITE;DIEPPE;TOUT SAUF PETITE;DIEPPE;1;0;0;12.0;2026-07-18;0.0;0.0;3.0
TOUTSCHUSS;AGEN LA GARENNE;TOUT SCHUSS;AGEN LA GARENNE;1;0;0;6.0;2026-04-26;0.0;0.0;86.0
TOUTSCHUSS;LA TESTE;TOUT SCHUSS;LA TESTE;1;0;0;16.0;2026-04-10;0.0;0.0;102.0
TOUTSCHUSS;MONT DE MARSAN;TOUT SCHUSS;MONT DE MARSAN;1;0;0;5.0;2026-03-12;0.0;0.0;131.0
TOUTSCHUSS;PAU;TOUT SCHUSS;PAU;3;0;0;11.333333333333334;2026-02-20;0.0;0.0;151.0
TOUZBAY;MACHECOUL;TOUZ BAY;MACHECOUL;1;0;0;9.0;2026-02-22;0.0;0.0;149.0
TOUZDREAM;LE MANS;TOUZ DREAM;LE MANS;1;0;0;12.0;2026-03-20;0.0;0.0;123.0
TOUZDREAM;PORNICHET;TOUZ DREAM;PORNICHET;1;0;0;7.0;2026-02-18;0.0;0.0;153.0
