Cheval_clean;Terrain_clean;Cheval;Terrain;Courses;Victoires;Podiums;Moyenne_classement;Taux_victoire;Taux_podium
TROIENNETOTAL;GAZON;TROIENNE TOTAL;GAZON;1;0;0;6.0;0.0;0.0
TROIENNETOTAL;QUATRE_ANS;TROIENNE TOTAL;QUATRE_ANS;2;0;0;4.5;0.0;0.0
TROISPLUMES;HERBE;TROIS PLUMES;HERBE;3;1;2;3.6666666666666665;33.3;66.7
TROISPLUMES;TROIS_ANS_ET_PLUS;TROIS PLUMES;TROIS_ANS_ET_PLUS;5;0;1;5.0;0.0;20.0
TROJANSOLDIER;GAZON;TROJAN SOLDIER;GAZON;1;1;1;1.0;100.0;100.0
TROJANSTORM;GAZON;TROJAN STORM;GAZON;1;0;0;8.0;0.0;0.0
TROMBONCITO;DEUX_ANS_ET_PLUS;TROMBONCITO;DEUX_ANS_ET_PLUS;5;1;2;3.8;20.0;40.0
TROMBONCITO;GAZON;TROMBONCITO;GAZON;8;2;4;4.0;25.0;50.0
TRONIDO;GAZON;TRONIDO;GAZON;1;0;0;10.0;0.0;0.0
TROOPS;QUATRE_ANS_ET_PLUS;TROOPS;QUATRE_ANS_ET_PLUS;1;1;1;1.0;100.0;100.0
TROPA;HERBE;TROPA;HERBE;1;1;1;1.0;100.0;100.0
TROPA;TROIS_ANS;TROPA;TROIS_ANS;1;0;0;0.0;0.0;0.0
TROPHANE;HERBE;TROPHANE;HERBE;4;1;1;9.0;25.0;25.0
TROPICALSUN;DEUX_ANS_ET_PLUS;TROPICAL SUN;DEUX_ANS_ET_PLUS;1;0;1;2.0;0.0;100.0
TROTSKI;HERBE;TROTSKI;HERBE;1;0;0;5.0;0.0;0.0
TROTSKYREVOLUTION;GAZON;TROTSKY REVOLUTION;GAZON;3;0;0;5.333333333333333;0.0;0.0
TROTSKYREVOLUTION;TROIS_ANS;TROTSKY REVOLUTION;TROIS_ANS;1;0;0;10.0;0.0;0.0
TROUBLECALLING;GAZON;TROUBLE CALLING;GAZON;1;0;0;8.0;0.0;0.0
TROUBLESOMEGUEST;HERBE;TROUBLESOME GUEST;HERBE;3;0;0;8.666666666666666;0.0;0.0
TROVAJOHAN;CINQ_ANS_ET_PLUS;TROVA JOHAN;CINQ_ANS_ET_PLUS;1;0;0;0.0;0.0;0.0
TROYANA;GAZON;TROYANA;GAZON;1;0;0;10.0;0.0;0.0
TROYANA;TROIS_ANS;TROYANA;TROIS_ANS;2;0;0;6.0;0.0;0.0
TROYSTORY;GAZON;TROY STORY;GAZON;1;0;0;5.0;0.0;0.0
TRUCOEFLOR;GAZON;TRUCO E FLOR;GAZON;2;0;2;2.5;0.0;100.0
TRUCOEFLOR;TROIS_ANS_ET_PLUS;TRUCO E FLOR;TROIS_ANS_ET_PLUS;2;2;2;1.0;100.0;100.0
TRUEBLUE;TROIS_ANS;TRUE BLUE;TROIS_ANS;1;0;0;10.0;0.0;0.0
TRUEBROTHERS;HERBE;TRUE BROTHERS;HERBE;1;0;0;11.0;0.0;0.0
TRUECHANCE;DEUX_ANS_ET_PLUS;TRUE CHANCE;DEUX_ANS_ET_PLUS;1;0;0;6.0;0.0;0.0
TRUECOLORS;GAZON;TRUE COLORS;GAZON;1;0;0;5.0;0.0;0.0
TRUECOPY;GAZON;TRUE COPY;GAZON;1;0;1;3.0;0.0;100.0
TRUECOPY;QUATRE_ANS;TRUE COPY;QUATRE_ANS;2;0;1;3.5;0.0;50.0
TRUEFORSALE;HERBE;TRUE FOR SALE;HERBE;1;0;0;6.0;0.0;0.0
TRUEFORSALE;QUATRE_ANS;TRUE FOR SALE;QUATRE_ANS;1;0;0;5.0;0.0;0.0
TRUELAGOON;GAZON;TRUE LAGOON;GAZON;1;1;1;1.0;100.0;100.0
TRUELOVE;HERBE;TRUE LOVE;HERBE;1;0;1;2.0;0.0;100.0
TRUELOVE;TROIS_ANS;TRUE LOVE;TROIS_ANS;3;1;3;2.0;33.3;100.0
TRUELOVER;GAZON;TRUE LOVER;GAZON;1;1;1;1.0;100.0;100.0
TRUELOVER;QUATRE_ANS_ET_PLUS;TRUE LOVER;QUATRE_ANS_ET_PLUS;1;0;0;6.0;0.0;0.0
TRUELOVER;TROIS_ANS_ET_PLUS;TRUE LOVER;TROIS_ANS_ET_PLUS;1;0;0;4.0;0.0;0.0
TRUEMADIBA;QUATRE_ANS;TRUE MADIBA;QUATRE_ANS;1;0;0;10.0;0.0;0.0
TRUEMADIBA;TROIS_ANS;TRUE MADIBA;TROIS_ANS;1;0;0;6.0;0.0;0.0
TRUEMADIBA;TROIS_ANS_ET_PLUS;TRUE MADIBA;TROIS_ANS_ET_PLUS;1;1;1;1.0;100.0;100.0
TRUEPLAYER;TROIS_ANS_ET_PLUS;TRUE PLAYER;TROIS_ANS_ET_PLUS;1;0;1;3.0;0.0;100.0
TRUEPROMISE;GAZON;TRUE PROMISE;GAZON;2;0;1;3.5;0.0;50.0
TRUESAILORM;GAZON;TRUE SAILOR M;GAZON;2;0;0;8.0;0.0;0.0
TRUESAILORM;QUATRE_ANS_ET_PLUS;TRUE SAILOR M;QUATRE_ANS_ET_PLUS;1;0;0;10.0;0.0;0.0
TRUESONG;QUATRE_ANS;TRUE SONG;QUATRE_ANS;1;0;0;0.0;0.0;0.0
TRUESTORY;HERBE;TRUE STORY;HERBE;3;0;0;7.333333333333333;0.0;0.0
TRUETEDESCO;GAZON;TRUE TEDESCO;GAZON;4;0;0;10.25;0.0;0.0
TRUETEDESCO;HERBE;TRUE TEDESCO;HERBE;2;0;0;9.0;0.0;0.0
TRUETEST;HERBE;TRUE TEST;HERBE;3;0;2;3.0;0.0;66.7
TRUETEST;TROIS_ANS;TRUE TEST;TROIS_ANS;2;0;0;9.5;0.0;0.0
TRUEVALUE;GAZON;TRUE VALUE;GAZON;1;0;0;11.0;0.0;0.0
TRUEVALUE;HERBE;TRUE VALUE;HERBE;2;0;0;10.0;0.0;0.0
TRULYAPPROVED;GAZON;TRULY APPROVED;GAZON;2;0;0;2.0;0.0;0.0
TRULYAPPROVED;HERBE;TRULY APPROVED;HERBE;1;0;0;5.0;0.0;0.0
TRULYAPPROVED;TROIS_ANS;TRULY APPROVED;TROIS_ANS;1;0;1;3.0;0.0;100.0
TRULYAPPROVED;TROIS_ANS_ET_PLUS;TRULY APPROVED;TROIS_ANS_ET_PLUS;1;0;1;2.0;0.0;100.0
TRULYSUPREME;DEUX_ANS_ET_PLUS;TRULY SUPREME;DEUX_ANS_ET_PLUS;1;0;0;12.0;0.0;0.0
TRUMAN'SCOMMANDER;HERBE;TRUMAN'S COMMANDER;HERBE;1;1;1;1.0;100.0;100.0
TRUMPETS;HERBE;TRUMPETS;HERBE;1;0;0;0.0;0.0;0.0
TRUMPETTA;TROIS_ANS_ET_PLUS;TRUMPETTA;TROIS_ANS_ET_PLUS;1;0;0;0.0;0.0;0.0
TRUMPH;TROIS_ANS;TRUMPH;TROIS_ANS;1;0;0;0.0;0.0;0.0
TRUSTACCOUNT;HERBE;TRUST ACCOUNT;HERBE;1;0;0;5.0;0.0;0.0
TRUSTFUND;GAZON;TRUST FUND;GAZON;2;0;0;7.5;0.0;0.0
TRUSTMORE;HERBE;TRUSTMORE;HERBE;1;0;0;4.0;0.0;0.0
TRUSTNOONE;GAZON;TRUST NO ONE;GAZON;2;0;1;1.5;0.0;50.0
TRUSTON;HERBE;TRUST ON;HERBE;4;0;0;3.75;0.0;0.0
TRUSTYOURINSTINCT;HERBE;TRUSTYOURINSTINCT;HERBE;1;0;1;2.0;0.0;100.0
TRUSTYOURINSTINCT;TROIS_ANS_ET_PLUS;TRUSTYOURINSTINCT;TROIS_ANS_ET_PLUS;1;1;1;1.0;100.0;100.0
TRUSTYSCOUT;GAZON;TRUSTY SCOUT;GAZON;2;0;0;7.0;0.0;0.0
